No,Nomor KA,Relasi,RK,CTR,MJ,CKY,TGS,TEJ,DAR,CJT,PRP,CC,CSK,SRP,RU,SDM,JMU,PDJ,KBY,PLM,THB,Keterangan
108,1614,Thb-Rk,06:25,06:13,06:04,06:00,05:57,05:53,05:48,05:45,05:36,05:29,05:26,05:22,05:19,05:13,05:10,05:07,04:59,04:53,04:47,
109,1616,Thb-Rk,06:52,06:41,06:32,06:28,06:25,06:21,06:16,06:13,06:04,05:57,05:54,05:50,05:47,05:41,05:38,05:35,05:27,05:21,05:15,
110,1618,Thb-Rk,07:07,06:56,06:47,06:43,06:40,06:36,06:31,06:28,06:19,06:12,06:09,06:05,06:02,05:56,05:53,05:50,05:42,05:36,05:30,
111,1620,Thb-Tgs,,,,,06:50,06:46,06:41,06:38,06:29,06:22,06:19,06:15,06:12,06:06,06:03,06:00,05:52,05:46,05:40,
112,1622,Thb-Rk,07:26,07:15,07:06,07:02,06:59,06:55,06:50,06:47,06:38,06:31,06:28,06:24,06:21,06:15,06:12,06:09,06:01,05:55,05:49,
113,1624,Thb-Tgs,,,,,07:10,07:06,07:01,06:58,06:49,06:42,06:39,06:35,06:32,06:26,06:23,06:20,06:12,06:06,06:00,
114,1626,Thb-Rk,07:47,07:36,07:27,07:23,07:20,07:16,07:11,07:08,06:59,06:52,06:49,06:45,06:42,06:36,06:33,06:30,06:22,06:16,06:10,
115,1628F,Thb-Srp,,,,,,,,,,,,06:54,06:51,06:45,06:42,06:39,06:31,06:25,06:19,Weekdays Only
116,1630,Thb-Rk,08:06,07:55,07:46,07:42,07:39,07:35,07:30,07:27,07:18,07:11,07:08,07:04,07:01,06:55,06:52,06:49,06:41,06:35,06:29,
117,1632F,Thb-Prp,,,,,,,,,07:27,07:20,07:17,07:13,07:10,07:04,07:01,06:58,06:50,06:44,06:38,Weekdays Only
118,1634,Thb-Rk,08:26,08:15,08:06,08:02,07:59,07:55,07:50,07:47,07:38,07:31,07:28,07:24,07:21,07:15,07:12,07:09,07:01,06:55,06:49,
119,1636,Thb-Tgs,,,,,08:10,08:06,08:01,07:58,07:49,07:42,07:39,07:35,07:32,07:26,07:23,07:20,07:12,07:06,07:00,
120,1638,Thb-Rk,08:46,08:35,08:26,08:22,08:19,08:15,08:10,08:07,07:58,07:51,07:48,07:44,07:41,07:35,07:32,07:29,07:21,07:15,07:09,
121,1640F,Thb-Prp,,,,,,,,,08:09,08:02,07:59,07:55,07:52,07:46,07:43,07:40,07:32,07:26,07:20,Weekdays Only
122,1642,Thb-Rk,09:06,08:55,08:46,08:42,08:39,08:35,08:30,08:27,08:18,08:11,08:08,08:04,08:01,07:55,07:52,07:49,07:41,07:35,07:29,
123,1644,Thb-Tgs,,,,,08:50,08:46,08:41,08:38,08:29,08:22,08:19,08:15,08:12,08:06,08:03,08:00,07:52,07:46,07:40,
124,1646,Thb-Rk,09:26,09:15,09:06,09:02,08:59,08:55,08:50,08:47,08:38,08:31,08:28,08:24,08:21,08:15,08:12,08:09,08:01,07:55,07:49,
125,1648F,Thb-Prp,,,,,,,,,08:49,08:42,08:39,08:35,08:32,08:26,08:23,08:20,08:12,08:06,08:00,Weekdays Only
126,1650,Thb-Rk,09:46,09:35,09:26,09:22,09:19,09:15,09:10,09:07,08:58,08:51,08:48,08:44,08:41,08:35,08:32,08:29,08:21,08:15,08:09,
127,1652,Thb-Tgs,,,,,09:30,09:26,09:21,09:18,09:09,09:02,08:59,08:55,08:52,08:46,08:43,08:40,08:32,08:26,08:20,
128,1654,Thb-Rk,10:06,09:55,09:46,09:42,09:39,09:35,09:30,09:27,09:18,09:11,09:08,09:04,09:01,08:55,08:52,08:49,08:41,08:35,08:29,
129,1656F,Thb-Prp,,,,,,,,,09:29,09:22,09:19,09:15,09:12,09:06,09:03,09:00,08:52,08:46,08:40,Weekdays Only
130,1658,Thb-Rk,10:26,10:15,10:06,10:02,09:59,09:55,09:50,09:47,09:38,09:31,09:28,09:24,09:21,09:15,09:12,09:09,09:01,08:55,08:49,
131,1660,Thb-Tgs,,,,,10:10,10:06,10:01,09:58,09:49,09:42,09:39,09:35,09:32,09:26,09:23,09:20,09:12,09:06,09:00,
132,1662,Thb-Rk,10:46,10:35,10:26,10:22,10:19,10:15,10:10,10:07,09:58,09:51,09:48,09:44,09:41,09:35,09:32,09:29,09:21,09:15,09:09,
133,1664F,Thb-Prp,,,,,,,,,10:09,10:02,09:59,09:55,09:52,09:46,09:43,09:40,09:32,09:26,09:20,Weekdays Only
134,1666,Thb-Rk,11:06,10:55,10:46,10:42,10:39,10:35,10:30,10:27,10:18,10:11,10:08,10:04,10:01,09:55,09:52,09:49,09:41,09:35,09:29,
135,1668,Thb-Tgs,,,,,10:50,10:46,10:41,10:38,10:29,10:22,10:19,10:15,10:12,10:06,10:03,10:00,09:52,09:46,09:40,
136,1670,Thb-Rk,11:26,11:15,11:06,11:02,10:59,10:55,10:50,10:47,10:38,10:31,10:28,10:24,10:21,10:15,10:12,10:09,10:01,09:55,09:49,
137,1672,Thb-Prp,,,,,,,,,10:49,10:42,10:39,10:35,10:32,10:26,10:23,10:20,10:12,10:06,10:00,
138,1674,Thb-Rk,11:46,11:35,11:26,11:22,11:19,11:15,11:10,11:07,10:58,10:51,10:48,10:44,10:41,10:35,10:32,10:29,10:21,10:15,10:09,
139,1678,Thb-Rk,12:04,11:51,11:42,11:38,11:35,11:31,11:26,11:23,11:14,11:07,11:04,11:00,10:57,10:51,10:48,10:45,10:37,10:31,10:25,
140,1682,Thb-Rk,12:26,12:15,12:06,12:02,11:59,11:55,11:50,11:47,11:38,11:31,11:28,11:24,11:21,11:15,11:12,11:09,11:01,10:55,10:49,
141,1684,Thb-Prp,,,,,,,,,11:49,11:42,11:39,11:35,11:32,11:26,11:23,11:20,11:12,11:06,11:00,
142,1686,Thb-Rk,12:46,12:35,12:26,12:22,12:19,12:15,12:10,12:07,11:58,11:51,11:48,11:44,11:41,11:35,11:32,11:29,11:21,11:15,11:09,
143,1690,Thb-Rk,13:02,12:51,12:42,12:38,12:35,12:31,12:26,12:23,12:14,12:07,12:04,12:00,11:57,11:51,11:48,11:45,11:37,11:31,11:25,
144,1692,Thb-Prp,,,,,,,,,12:29,12:22,12:19,12:15,12:12,12:06,12:03,12:00,11:52,11:46,11:40,
145,1694,Thb-Rk,13:26,13:15,13:06,13:02,12:59,12:55,12:50,12:47,12:38,12:31,12:28,12:24,12:21,12:15,12:12,12:09,12:01,11:55,11:49,
146,1696,Thb-Prp,,,,,,,,,12:49,12:42,12:39,12:35,12:32,12:26,12:23,12:20,12:12,12:06,12:00,
147,1700,Thb-Prp,,,,,,,,,13:08,13:01,12:58,12:54,12:51,12:45,12:42,12:39,12:31,12:25,12:19,
148,1702,Thb-Rk,14:07,13:56,13:47,13:43,13:40,13:36,13:31,13:28,13:19,13:12,13:09,13:05,13:02,12:56,12:53,12:50,12:42,12:36,12:30,
149,1704,Thb-Rk,14:27,14:16,14:07,14:03,14:00,13:56,13:51,13:48,13:39,13:32,13:29,13:25,13:22,13:16,13:13,13:10,13:02,12:56,12:50,
150,1706,Thb-Prp,,,,,,,,,13:49,13:42,13:39,13:35,13:32,13:26,13:23,13:20,13:12,13:06,13:00,
151,1708,Thb-Rk,14:47,14:36,14:27,14:23,14:20,14:16,14:11,14:08,13:59,13:52,13:49,13:45,13:42,13:36,13:33,13:30,13:22,13:16,13:10,
